,index,country,location,latitude,longitude,soil,pH,crop,sowing_year,sowing_month,harvest_year,harvest_month,yield_ct,yield_nt,P,E,PB,Tave,Tmax,Tmin,ST
78,2314,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,soybean,2001,6,2001,10,1548.0,990.0,371.9,383.272,-11.372,17.16,28.28293,5.07566,Clay loam
79,2315,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,soybean,2002,6,2002,10,3731.0,3490.0,422.5,397.046,25.454,16.66,27.46194,1.59899,Clay loam
80,2316,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,soybean,2003,6,2003,10,2741.0,2893.0,442.3,383.608,58.692,16.72,26.2323,2.87614,Clay loam
81,2317,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,soybean,2004,6,2004,10,2221.0,2500.0,425.8,363.247,62.553,16.14,25.85472,3.73618,Clay loam
82,2318,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,soybean,2005,6,2005,10,2893.0,2767.0,473.3,402.775,70.525,18.16,27.47704,5.5502,Clay loam
83,2319,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,soybean,2006,6,2006,10,1244.0,1193.0,566.4,365.463,200.937,16.22,27.61564,3.09557,Clay loam
84,2320,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,soybean,2007,6,2007,10,4099.0,3553.0,417.7,396.106,21.594,17.02,25.75909,5.55982,Clay loam
85,2321,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,soybean,2008,6,2008,10,3782.0,3921.0,442.5,359.319,83.181,16.22,25.3593,2.61062,Clay loam
86,2322,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,soybean,2009,6,2009,10,3768.0,4391.0,481.1,350.989,130.111,15.44,25.05208,2.83079,Clay loam
87,2323,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,soybean,2010,6,2010,10,2475.0,2728.0,551.1,357.224,193.876,16.72,28.01735,3.45621,Clay loam
88,2324,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,soybean,2011,6,2011,10,3629.0,3706.0,367.7,390.363,-22.663,17.68,27.28399,4.96371,Clay loam
89,2325,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,soybean,2012,6,2012,10,2157.0,1827.0,348.3,387.727,-39.427,17.36,29.56315,4.00415,Clay loam
90,2326,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,soybean,2013,6,2013,10,2665.0,2716.0,442.8,362.281,80.519,16.34,27.06917,4.05366,Clay loam
91,2327,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,soybean,2014,6,2014,10,3147.0,2881.0,496.8,353.734,143.066,16.58,25.28544,5.12498,Clay loam
92,2328,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,soybean,2015,6,2015,10,2424.0,1358.0,415.4,382.778,32.622,16.7,26.78852,1.95296,Clay loam
93,2329,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,soybean,2001,6,2001,10,1396.0,1231.0,371.9,383.272,-11.372,17.16,28.28293,5.07566,Clay loam
94,2330,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,soybean,2002,6,2002,10,3388.0,3122.0,422.5,397.046,25.454,16.66,27.46194,1.59899,Clay loam
95,2331,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,soybean,2003,6,2003,10,2792.0,2906.0,442.3,383.608,58.692,16.72,26.2323,2.87614,Clay loam
96,2332,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,soybean,2004,6,2004,10,2500.0,2538.0,425.8,363.247,62.553,16.14,25.85472,3.73618,Clay loam
97,2333,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,soybean,2005,6,2005,10,2970.0,2208.0,473.3,402.775,70.525,18.16,27.47704,5.5502,Clay loam
98,2334,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,soybean,2006,6,2006,10,1244.0,1256.0,566.4,365.463,200.937,16.22,27.61564,3.09557,Clay loam
99,2335,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,soybean,2007,6,2007,10,3820.0,4239.0,417.7,396.106,21.594,17.02,25.75909,5.55982,Clay loam
100,2336,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,soybean,2008,6,2008,10,4480.0,4251.0,442.5,359.319,83.181,16.22,25.3593,2.61062,Clay loam
101,2337,Canada,Ottwa,45.37,-75.72,sandy loam,6.8,soybean,2009,6,2009,10,4226.0,4112.0,481.1,350.989,130.111,15.44,25.05208,2.83079,Clay loam
