Year,Field,Plot_No,SMU,Core_No,Tillage,Depth,Lab_No,TotalN.perc,TotalC.perc,InorganicC.perc,OrganicC.perc,pH,Delta_C13,atom_pct
2005,70,47801,107/507,22,Chisel,30 to 60,G87,0.15,2.11,0.03,2.08,6.5,-16.27,1.0933
2005,70,47801,107/507,23,Chisel,30 to 60,G91,0.1,1.36,0.05,1.31,6.73,-15.94,1.0937
2005,70,47801,107/507,24,Chisel,30 to 60,G95,0.09,1.09,0.05,1.04,7.62,-2.31,1.1087
2005,70,47798,107/507,25,Chisel,30 to 60,G99,0.1,1.46,0.05,1.41,6.27,-15.44,1.0942
2005,70,47798,138B,26,Chisel,30 to 60,G103,0.08,0.94,0.06,0.88,6.33,-16.41,1.0932
2005,70,47798,138B,27,Chisel,30 to 60,G107,0.08,0.83,0.05,0.78,6.51,-17.05,1.0925
2005,70,47798,138B,28,Chisel,30 to 60,G111,0.1,1.23,0.05,1.18,7.71,-2.99,1.1079
2005,70,47791,138B,29,Plow,30 to 60,G115,0.1,1.18,0.05,1.13,6.6,-15.65,1.094
2005,70,47791,107/507,30,Plow,30 to 60,G119,0.11,1.47,0.04,1.43,6.77,-16.37,1.0932
2005,70,47791,107/507,31,Plow,30 to 60,G123,0.1,1.19,0.06,1.13,6.76,-16.31,1.0933
2005,70,47791,107/507,32,Plow,30 to 60,G127,0.09,1,0.05,0.95,7.09,-13.2,1.0967
2005,70,47792,107/507,33,Slot,30 to 60,G131,0.11,1.72,0.02,1.7,5.94,-15.8,1.0939
2005,70,47792,107/507,34,Slot,30 to 60,G135,0.13,1.96,0.04,1.92,6.19,-16.72,1.0928
2005,70,47792,107/507,35,Slot,30 to 60,G139,0.1,1.71,0.05,1.66,6.56,-16.82,1.0927
2005,70,47792,107/507,36,Slot,30 to 60,G143,0.09,1.29,0.03,1.26,6.91,-17.46,1.092
2005,70,47797,107/507,37,Till,30 to 60,G147,0.06,0.82,0.11,0.71,5.71,-15.78,1.0939
2005,70,47797,107/507,38,Till,30 to 60,G151,0.09,1.15,0.04,1.11,6.09,-16.12,1.0935
2005,70,47797,107/507,39,Till,30 to 60,G155,0.07,0.98,0.04,0.94,6.41,-16.72,1.0928
2005,70,47797,107/507,40,Till,30 to 60,G159,0.09,1.47,0.001,1.47,7.33,-5.99,1.1046
2005,70,47802,138B,41,Disk,30 to 60,G163,0.09,1.25,0.001,1.25,5.75,-15.97,1.0937
2005,70,47802,138B,42,Disk,30 to 60,G167,0.12,1.92,0.001,1.92,6.21,-16.09,1.0935
2005,70,47802,107/507,43,Disk,30 to 60,G171,0.13,1.92,0.001,1.92,6.52,-16.2,1.0934
2005,70,47802,107/507,44,Disk,30 to 60,G175,0.13,1.87,0.001,1.87,7.87,-2.83,1.1081
2005,70,47807,107/507,45,Chisel,30 to 60,G179,0.07,0.94,0.001,0.94,6.66,-15.92,1.0937
2005,70,47807,138B,46,Chisel,30 to 60,G183,0.07,0.85,0.001,0.85,7.18,-16.36,1.0932
