,index,country,location,latitude,longitude,soil,pH,crop,sowing_year,sowing_month,harvest_year,harvest_month,yield_ct,yield_nt,P,E,PB,Tave,Tmax,Tmin,ST
46,1327,China,"Hunan Province, Changsha",28.18,113.07,clay, ,rice,2010,3,2010,6,8940.0,8880.0,1027.6,275.726,751.875,18.1,24.85573,7.16769,Clay loam
47,1328,China,"Hunan Province, Changsha",28.18,113.07,clay loam,6.04,rice,2004,3,2004,6,10140.0,9350.0,773.0,353.483,419.517,19.675,26.76139,7.16453,Clay loam
48,1329,China,"Hunan Province, Changsha",28.18,113.07,clay loam,6.04,rice,2006,3,2006,6,10450.0,11120.0,776.8,346.064,430.736,19.875,27.30806,7.64725,Clay loam
49,1330,China,"Hunan Province, Changsha",28.18,113.07,clay loam,6.04,rice,2007,3,2007,6,10610.0,10800.0,550.7,342.13,208.57,19.875,27.10545,8.32728,Clay loam
50,1331,China,"Hunan Province, Changsha",28.18,113.07,clay loam,6.04,rice,2008,3,2008,6,9560.0,10280.0,602.6,346.063,256.537,20.375,26.35163,9.77641,Clay loam
51,1332,China,"Hunan Province, Changsha",28.18,113.07,clay loam,6.04,rice,2009,3,2009,6,9400.0,9500.0,794.3,334.279,460.021,19.55,28.30531,7.22014,Clay loam
52,1333,China,"Hunan Province, Changsha",28.18,113.07,clay loam,6.04,rice,2010,3,2010,6,9660.0,8820.0,1027.6,275.726,751.875,18.1,24.85573,7.16769,Clay loam
53,2894,China,"Jiangxi province, Yujiang county",28.25,116.92,available, ,rice,2003,3,2003,6,4753.0,4931.0,1046.1,323.448,722.652,20.8,30.56641,8.89023,Clay loam
54,2895,China,"Jiangxi province, Yujiang county",28.25,116.92,available, ,rice,2003,3,2003,6,6529.0,6529.0,1046.1,323.448,722.652,20.8,30.56641,8.89023,Clay loam
55,2896,China,"Jiangxi province, Yujiang county",28.25,116.92,available, ,rice,2003,3,2003,6,6805.0,6785.0,1046.1,323.448,722.652,20.8,30.56641,8.89023,Clay loam
56,2897,China,"Jiangxi province, Yujiang county",28.25,116.92,available, ,rice,2004,3,2004,6,6726.0,6746.0,806.1,345.501,460.599,21.1,30.57344,8.91516,Clay loam
57,2898,China,"Jiangxi province, Yujiang county",28.25,116.92,available, ,rice,2004,3,2004,6,8462.0,8442.0,806.1,345.501,460.599,21.1,30.57344,8.91516,Clay loam
58,2899,China,"Jiangxi province, Yujiang county",28.25,116.92,available, ,rice,2004,3,2004,6,8876.0,8462.0,806.1,345.501,460.599,21.1,30.57344,8.91516,Clay loam
59,2900,China,"Jiangxi province, Yujiang county",28.25,116.92,available, ,rice,2005,3,2005,6,5878.0,6036.0,992.1,328.995,663.105,21.35,31.88998,7.93312,Clay loam
60,2901,China,"Jiangxi province, Yujiang county",28.25,116.92,available, ,rice,2005,3,2005,6,8245.0,8264.0,992.1,328.995,663.105,21.35,31.88998,7.93312,Clay loam
61,2902,China,"Jiangxi province, Yujiang county",28.25,116.92,available, ,rice,2005,3,2005,6,7791.0,7673.0,992.1,328.995,663.105,21.35,31.88998,7.93312,Clay loam
62,2903,China,"Jiangxi province, Yujiang county",28.25,116.92,available, ,rice,2006,3,2006,6,5602.0,5779.0,1249.5,330.209,919.291,20.925,30.2299,9.67605,Clay loam
63,2904,China,"Jiangxi province, Yujiang county",28.25,116.92,available, ,rice,2006,3,2006,6,7732.0,7850.0,1249.5,330.209,919.291,20.925,30.2299,9.67605,Clay loam
64,2905,China,"Jiangxi province, Yujiang county",28.25,116.92,available, ,rice,2006,3,2006,6,8442.0,8264.0,1249.5,330.209,919.291,20.925,30.2299,9.67605,Clay loam
65,2074,China,"Jianyang, Sichuan",30.4,104.6,available,,rice,2012,5,2012,9,7848.0,8235.0,775.1,397.829,377.271,23.64,28.28193,16.43663,Loam
66,2075,China,"Jianyang, Sichuan",30.4,104.6,available,,rice,2013,5,2013,9,8196.0,9008.0,1029.7,451.678,578.022,24.26,29.38687,16.07337,Loam
67,2076,China,"Jianyang, Sichuan",30.4,104.6,available,,rice,2014,5,2014,9,8273.0,8660.0,858.2,399.9,458.3,23.46,28.43393,15.30576,Loam
68,2077,China,"Jianyang, Sichuan",30.4,104.6,available,,rice,2015,5,2015,9,8737.0,9046.0,916.0,400.708,515.292,23.84,27.96866,16.434,Loam
69,2078,China,"Jianyang, Sichuan",30.4,104.6,available,,rice,2016,5,2016,9,7036.0,8119.0,967.6,462.874,504.726,24.44,29.55438,15.92246,Loam
70,2079,China,"Jianyang, Sichuan",30.4,104.6,available,,rice,2017,5,2017,9,9781.0,10709.0,776.6,466.071,310.529,24.56,30.20104,15.77936,Loam
71,14,China,"Ningxiang, hunan",28.6,112.6,clay loam,5.6,rice,2017,3,2017,6,7225.0,6749.0,963.1,285.776,677.324,18.55,26.04461,7.75104,Clay loam
72,2002,China,"Wuxue City, Hubei Province",29.85,115.55,sandy loam,,rice,2013,5,2013,9,7840.17,7959.04,656.6,526.348,130.252,26.46,32.28531,16.68541,Clay loam
73,2003,China,"Wuxue City, Hubei Province",29.85,115.55,sandy loam,,rice,2014,5,2014,9,8778.23,8776.18,829.8,457.217,372.583,25.3,29.38477,15.90062,Clay loam
74,1475,Ghana,"Kwadaso, Ashanti",6.67,-1.67,,6.99,rice,2016,5,2016,10,6400.0,6300.0,616.1,506.275,109.825,27.03333,32.16865,23.04425,Sandy clay loam
75,1476,Ghana,"Kwadaso, Ashanti",6.67,-1.67,,6.99,rice,2017,5,2017,10,6600.0,6500.0,751.4,501.394,250.006,27.21667,32.58558,23.32581,Sandy clay loam
76,3146,India,"Haryana, Kaul",29.85,76.68,clay loam,7.8,rice,2006,7,2006,11,6610.0,6520.0,200.3,442.095,-241.795,27.62,35.47863,14.12682,Loam
77,3147,India,"Haryana, Kaul",29.85,76.68,clay loam,7.8,rice,2006,7,2006,11,7060.0,6860.0,200.3,442.095,-241.795,27.62,35.47863,14.12682,Loam
78,2243,India,Jabalpur,24.5,79.97,clay loam,7.3,rice,2006,7,2006,11,1310.0,1060.0,815.9,395.873,420.027,27.44,33.84054,15.54516,Clay loam
79,2244,India,Jabalpur,24.5,79.97,clay loam,7.3,rice,2007,7,2007,11,2260.0,1840.0,753.5,400.352,353.148,27.14,32.73613,13.35217,Clay loam
80,2245,India,Jabalpur,24.5,79.97,clay loam,7.3,rice,2008,7,2008,11,2350.0,2940.0,859.7,408.137,451.563,27.48,33.43478,14.53244,Clay loam
81,3777,India,"Ludhiana, Punjab",30.93,75.87,Typic Ustochrept sandy loam,7.81,rice,2012,7,2012,11,6740.0,6620.0,332.1,442.012,-109.912,27.0,36.91014,10.99835,Loam
82,3778,India,"Ludhiana, Punjab",30.93,75.87,Typic Ustochrept sandy loam,7.81,rice,2012,7,2012,11,6740.0,6900.0,332.1,442.012,-109.912,27.0,36.91014,10.99835,Loam
83,3779,India,"Ludhiana, Punjab",30.93,75.87,Typic Ustochrept sandy loam,7.81,rice,2013,7,2013,11,6550.0,6290.0,438.5,424.032,14.468,27.0,35.34262,10.93021,Loam
84,3780,India,"Ludhiana, Punjab",30.93,75.87,Typic Ustochrept sandy loam,7.81,rice,2013,7,2013,11,6550.0,6830.0,438.5,424.032,14.468,27.0,35.34262,10.93021,Loam
85,3781,India,"Ludhiana, Punjab",30.93,75.87,Typic Ustochrept sandy loam,7.81,rice,2014,7,2014,11,6580.0,6280.0,328.0,433.824,-105.824,27.34,36.17549,11.27524,Loam
86,3782,India,"Ludhiana, Punjab",30.93,75.87,Typic Ustochrept sandy loam,7.81,rice,2014,7,2014,11,6580.0,6920.0,328.0,433.824,-105.824,27.34,36.17549,11.27524,Loam
87,3353,India,"Meerut, Uttar Pradesh",29.07,77.77,sandy loam,8.1,rice,2006,7,2006,11,8509.0,8426.0,404.4,450.584,-46.184,27.58,35.00947,13.85652,Loam
88,3354,India,"Meerut, Uttar Pradesh",29.07,77.77,sandy loam,8.1,rice,2007,7,2007,11,8592.0,8522.0,544.5,439.466,105.034,27.36,34.85366,12.72313,Loam
89,3355,India,"Meerut, Uttar Pradesh",29.07,77.77,sandy loam,8.1,rice,2008,7,2008,11,8426.0,8315.0,687.2,431.871,255.329,27.18,34.13989,13.04172,Loam
90,3356,India,"Meerut, Uttar Pradesh",29.07,77.77,sandy loam,8.1,rice,2009,7,2009,11,8481.0,8246.0,595.4,433.603,161.797,27.54,36.16642,13.17497,Loam
91,3357,India,"Meerut, Uttar Pradesh",29.07,77.77,sandy loam,8.1,rice,2010,7,2010,11,8419.0,8197.0,1038.1,387.085,651.016,27.06,34.29296,15.04405,Loam
92,3358,India,"Meerut, Uttar Pradesh",29.07,77.77,sandy loam,8.1,rice,2006,7,2006,11,8359.0,8288.0,404.4,450.584,-46.184,27.58,35.00947,13.85652,Loam
93,3359,India,"Meerut, Uttar Pradesh",29.07,77.77,sandy loam,8.1,rice,2007,7,2007,11,8217.0,8132.0,544.5,439.466,105.034,27.36,34.85366,12.72313,Loam
94,3360,India,"Meerut, Uttar Pradesh",29.07,77.77,sandy loam,8.1,rice,2008,7,2008,11,8018.0,7811.0,687.2,431.871,255.329,27.18,34.13989,13.04172,Loam
95,3361,India,"Meerut, Uttar Pradesh",29.07,77.77,sandy loam,8.1,rice,2009,7,2009,11,8061.0,7669.0,595.4,433.603,161.797,27.54,36.16642,13.17497,Loam
96,3362,India,"Meerut, Uttar Pradesh",29.07,77.77,sandy loam,8.1,rice,2010,7,2010,11,7975.0,7569.0,1038.1,387.085,651.016,27.06,34.29296,15.04405,Loam
97,2129,India,"Odisha, Cuttack",20.46,85.87,sandy clay loam,5.2,rice,1980,6,1980,11,2636.0,2222.0,1668.8,550.411,1118.389,27.63333,32.56129,18.89603,Sandy loam
