,Year,Plot Num,Treatment Num,Stover Harvest,BioChar History,Tillage,Depth,Replicate,Collect Date,TotalC.perc,TotalN.perc,InorganicC.perc,OrgC.perc,OrganicMatter.perc,pH
76,2017,215,21,Moderate,No,No-Till,60 to 90,2,2018-07-09 00:00:00,1.58,0.06,1.28,0.3,0.9,8.1
77,2017,215,21,Moderate,No,No-Till,0 to 15,2,2018-07-09 00:00:00,3.28,0.26,,,4.7,6.0
78,2017,215,21,Moderate,No,No-Till,30 to 60,2,2018-07-09 00:00:00,1.33,0.11,,,2.1,6.9
79,2017,215,21,Moderate,No,No-Till,90 to 120,2,2018-07-09 00:00:00,1.12,0.05,0.93,0.19,0.6,8.2
80,2017,217,9,High,No,No-Till,15 to 30,2,2018-07-09 00:00:00,2.52,0.19,,,3.8,5.9
81,2017,217,9,High,No,No-Till,60 to 90,2,2018-07-09 00:00:00,0.41,0.07,,,1.3,7.5
82,2017,217,9,High,No,No-Till,0 to 15,2,2018-07-09 00:00:00,3.21,0.24,,,4.2,6.3
83,2017,217,9,High,No,No-Till,30 to 60,2,2018-07-09 00:00:00,2.09,0.16,,,3.0,6.8
84,2017,217,9,High,No,No-Till,90 to 120,2,2018-07-09 00:00:00,0.24,0.06,< 0.03,0.22,1.1,7.7
85,2017,218,8,High,No,No-Till,15 to 30,2,2018-07-09 00:00:00,1.85,0.16,,,2.6,6.9
86,2017,218,8,High,No,No-Till,60 to 90,2,2018-07-09 00:00:00,1.41,0.05,1.26,0.15,0.7,8.1
87,2017,218,8,High,No,No-Till,0 to 15,2,2018-07-09 00:00:00,2.9,0.25,,,3.8,6.8
88,2017,218,8,High,No,No-Till,30 to 60,2,2018-07-09 00:00:00,0.91,0.09,,,1.8,7.2
89,2017,218,8,High,No,No-Till,90 to 120,2,2018-07-09 00:00:00,2.22,0.06,2,0.22,0.6,8.3
90,2017,219,2,High,No,No-Till,15 to 30,2,2018-07-09 00:00:00,1.75,0.17,,,2.4,6.5
91,2017,219,2,High,No,No-Till,60 to 90,2,2018-07-09 00:00:00,2.47,0.08,1.82,0.65,0.9,8.2
92,2017,219,2,High,No,No-Till,0 to 15,2,2018-07-09 00:00:00,2.59,0.23,,,3.3,6.9
93,2017,219,2,High,No,No-Till,30 to 60,2,2018-07-09 00:00:00,0.81,0.11,0.06,0.75,1.6,7.3
94,2017,219,2,High,No,No-Till,90 to 120,2,2018-07-09 00:00:00,2.15,0.03,2.16,-0.01,0.5,8.3
95,2017,220,11,High,No,No-Till,15 to 30,2,2018-07-09 00:00:00,1.45,0.13,,,2.2,6.6
96,2017,220,11,High,No,No-Till,60 to 90,2,2018-07-09 00:00:00,2.17,0.05,2,0.17,0.7,8.3
97,2017,220,11,High,No,No-Till,0 to 15,2,2018-07-09 00:00:00,2.64,0.21,,,3.5,6.9
98,2017,220,11,High,No,No-Till,30 to 60,2,2018-07-09 00:00:00,0.82,0.07,,,2.0,7.2
99,2017,220,11,High,No,No-Till,90 to 120,2,2018-07-09 00:00:00,2.1,0.03,1.96,0.14,0.6,8.3
