year,month,10m_v_component_of_wind,surface_solar_radiation_downwards,2m_temperature,surface_thermal_radiation_downwards,surface_pressure,evaporation,10m_u_component_of_wind,total_precipitation
2024,5,-4.1704917,0.0,220.23343,87.95545,68138.12,-1.1751067e-07,0.51672703,7.025738e-05
2024,5,-4.1704917,0.0,220.23343,87.95545,68138.12,-1.1751067e-07,0.51672703,7.025738e-05
2024,5,-4.1459217,0.0,220.23286,87.95581,68138.12,-1.174684e-07,0.69705755,7.025466e-05
2024,5,-4.1459217,0.0,220.23286,87.95581,68138.12,-1.174684e-07,0.69705755,7.025466e-05
2024,5,-4.0497575,0.0,220.14723,87.95858,68138.12,-1.1501541e-07,0.85362875,7.0210466e-05
2024,5,-4.0497575,0.0,220.14723,87.95858,68138.12,-1.1501541e-07,0.85362875,7.0210466e-05
2024,5,-4.010224,0.0,220.14659,87.95898,68138.12,-1.1498763e-07,1.0278305,7.0207876e-05
2024,5,-4.010224,0.0,220.14659,87.95898,68138.12,-1.1498763e-07,1.0278305,7.0207876e-05
2024,5,-3.9270613,0.0,220.09267,87.96119,68138.12,-1.1345815e-07,1.1828849,7.02537e-05
2024,5,-3.9270613,0.0,220.09267,87.96119,68138.12,-1.1345815e-07,1.1828849,7.02537e-05
2024,5,-3.8726437,0.0,220.09181,87.96157,68138.12,-1.13442404e-07,1.3509889,7.025077e-05
2024,5,-3.8726437,0.0,220.09181,87.96157,68138.12,-1.13442404e-07,1.3509889,7.025077e-05
2024,5,-3.8106608,0.0,220.09126,87.96165,68138.12,-1.13446944e-07,1.5164666,7.024771e-05
2024,5,-3.8106608,0.0,220.09126,87.96165,68138.12,-1.13446944e-07,1.5164666,7.024771e-05
2024,5,-3.7411644,0.0,220.09077,87.96195,68138.12,-1.1346176e-07,1.6789881,7.0245114e-05
2024,5,-3.7411644,0.0,220.09077,87.96195,68138.12,-1.1346176e-07,1.6789881,7.0245114e-05
2024,5,-3.6542473,0.0,220.07376,87.96277,68138.12,-1.1301109e-07,1.8307233,7.023699e-05
2024,5,-3.6542473,0.0,220.07376,87.96277,68138.12,-1.1301109e-07,1.8307233,7.023699e-05
2024,5,-3.5704756,0.0,220.0735,87.96298,68138.12,-1.1304573e-07,1.986003,7.023527e-05
2024,5,-3.5704756,0.0,220.0735,87.96298,68138.12,-1.1304573e-07,1.986003,7.023527e-05
2024,5,-3.4539535,0.0,220.02682,87.96495,68138.12,-1.1175631e-07,2.113902,7.022344e-05
2024,5,-3.4539535,0.0,220.02682,87.96495,68138.12,-1.1175631e-07,2.113902,7.022344e-05
2024,5,-3.357308,0.0,220.02684,87.965164,68138.12,-1.1180907e-07,2.2601717,7.022308e-05
2024,5,-3.357308,0.0,220.02684,87.965164,68138.12,-1.1180907e-07,2.2601717,7.022308e-05
2024,5,-3.2540722,0.0,220.02696,87.965324,68138.12,-1.1186714e-07,2.402171,7.022145e-05
2024,5,-3.2540722,0.0,220.02696,87.965324,68138.12,-1.1186714e-07,2.402171,7.022145e-05
2024,5,-3.1444721,0.0,220.0272,87.96548,68138.12,-1.11928664e-07,2.5396543,7.022173e-05
2024,5,-3.1444721,0.0,220.0272,87.96548,68138.12,-1.11928664e-07,2.5396543,7.022173e-05
